game_id,competition_id_x,season,round,date_x,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_name,away_club_name,aggregate,competition_type,game_event_id,minute,type_y,player_id_y,description,player_in_id,player_assist_id,appearance_id,player_id,date,yellow_cards,red_cards,goals,assists,minutes_played,name,last_season,current_club_id,player_code,country_of_birth,date_of_birth,sub_position,position_y,foot,height_in_cm,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,agent_name
2225555,GB1,2012,14. Matchday,2012-11-27,1,0,17.0,19.0,Paul Lambert,Brian McDermott,Villa Park,28692.0,Lee Probert,Aston Villa Football Club,Reading FC,01:00:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2225555_61575,61575,2012-11-27,0,0,0,0,66,Eric Lichaj,2020,6646,eric-lichaj,United States,1988-11-17,Right-Back,Defender,right,180.0,4489216.076402706,2000000.0,2024-06-30,Unique Sports Group
2231479,L1,2012,12. Matchday,2012-11-17,1,1,15.0,1.0,Dieter Hecking,Jupp Heynckes,Max-Morlock-Stadion,50000.0,Manuel Graofe,1.FC Nuremberg,FC Bayern Munich,01:01:00,domestic_league,c903649b4b8d30635f339aa5602ae14b,52.0,Cards,49723.0,"3. Yellow card  , Foul",152762.01347708894,53307.31724137931,2231479_49723,49723,2012-11-17,1,0,0,0,90,Timothy Chandler,2023,24,timothy-chandler,Germany,1990-03-29,Right-Back,Defender,right,186.0,700000.0,5000000.0,2025-06-30,Wasserman
2231518,L1,2012,17. Matchday,2012-12-16,1,1,12.0,14.0,Thomas Schaaf,Dieter Hecking,Wohninvest-Weserstadion,38553.0,Manuel Graofe,Sportverein Werder Bremen von 1899,1.FC Nuremberg,01:01:00,domestic_league,f6851ceef0a8f0093298f74104596dce,84.0,Cards,49723.0,"4. Yellow card  , Foul",152762.01347708894,53307.31724137931,2231518_49723,49723,2012-12-16,1,0,0,0,90,Timothy Chandler,2023,24,timothy-chandler,Germany,1990-03-29,Right-Back,Defender,right,186.0,700000.0,5000000.0,2025-06-30,Wasserman
2231594,L1,2012,29. Matchday,2013-04-12,3,1,5.0,10.0,Christian Streich,Mirko Slomka,Dreisamstadion,24000.0,Deniz Aytekin,Sport-Club Freiburg,Hannover 96,03:01:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2231594_1335,1335,2013-04-12,0,0,0,0,90,Steven Cherundolo,2013,42,steven-cherundolo,United States,1979-02-19,Right-Back,Defender,right,172.0,4489216.076402706,4000000.0,2024-06-30,ARP Sportmarketing
2231667,L1,2012,34. Matchday,2013-05-18,1,2,2.0,16.0,Jurgen Klopp,Markus Gisdol,SIGNAL IDUNA PARK,80645.0,Dr. Jochen Drees,Borussia Dortmund,tsg 1899 hoffenheim football spielbetriebs Gmbh,01:02:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2231667_31041,31041,2013-05-18,0,0,0,0,90,Fabian Johnson,2019,18,fabian-johnson,Germany,1987-12-11,Left Winger,Attack,right,183.0,4489216.076402706,7000000.0,2024-06-30,Robert Schneider
2244111,TR1,2012,26. Matchday,2013-03-15,3,2,5.0,13.0,Hikmet Karaman,Tolunay Kafkas,Bursa ataturk Stadyumu,15405.0,Serkan Cinar,Bursaspor,Trabzonspor,03:02:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2244111_50987,50987,2013-03-15,0,0,0,0,90,Maurice Edu,2012,20,maurice-edu,United States,1986-04-18,Defensive Midfield,Midfield,right,183.0,4489216.076402706,3000000.0,2024-06-30,Wasserman
2251439,IT1,2012,18. Matchday,2012-12-22,4,2,6.0,7.0,Zdena k Zeman,Massimiliano Allegri,Olimpico di Roma,50206.0,Gianluca Rocchi,Associazione Sportiva Roma,Associazione Calcio Milan,04:02:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2251439_30593,30593,2012-12-22,0,0,0,0,90,Michael Bradley,2013,12,michael-bradley,United States,1987-07-31,Central Midfield,Midfield,right,189.0,200000.0,6500000.0,2024-06-30,Football Company Srl
2251510,IT1,2012,26. Matchday,2013-02-24,2,3,16.0,8.0,Stefano Colantuono,Aurelio Andreazzoli,Gewiss Stadium,12160.0,Andrea De Marco,Atalanta Bergamasca Calcio S.p.a.,Associazione Sportiva Roma,02:03:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2251510_30593,30593,2013-02-24,0,0,0,0,90,Michael Bradley,2013,12,michael-bradley,United States,1987-07-31,Central Midfield,Midfield,right,189.0,200000.0,6500000.0,2024-06-30,Football Company Srl
2258957,GB1,2012,20. Matchday,2012-12-29,0,3,18.0,17.0,Paul Lambert,Roberto Martínez,Villa Park,33374.0,Kevin Friend,Aston Villa Football Club,Wigan Athletic,00:03:00,domestic_league,d333afc6c794e963fcd8cdc9cd4b501f,64.0,Substitutions,61575.0,", Tactical",61560.0,53307.31724137931,2258957_39471,39471,2012-12-29,0,0,0,0,90,Brad Guzan,2016,641,brad-guzan,United States,1984-09-09,Goalkeeper,Goalkeeper,left,193.0,100000.0,5000000.0,2023-12-31,YMU Group
2258957,GB1,2012,20. Matchday,2012-12-29,0,3,18.0,17.0,Paul Lambert,Roberto Martínez,Villa Park,33374.0,Kevin Friend,Aston Villa Football Club,Wigan Athletic,00:03:00,domestic_league,d333afc6c794e963fcd8cdc9cd4b501f,64.0,Substitutions,61575.0,", Tactical",61560.0,53307.31724137931,2258957_61575,61575,2012-12-29,0,0,0,0,64,Eric Lichaj,2020,6646,eric-lichaj,United States,1988-11-17,Right-Back,Defender,right,180.0,4489216.076402706,2000000.0,2024-06-30,Unique Sports Group
